dataset,round,reference,method,kind,operating_point,d_balanced_accuracy,d_balanced_accuracy_lo,d_balanced_accuracy_hi,d_balanced_accuracy_p,d_mcc,d_mcc_lo,d_mcc_hi,d_mcc_p,d_sensitivity,d_sensitivity_lo,d_sensitivity_hi,d_sensitivity_p,d_specificity,d_specificity_lo,d_specificity_hi,d_specificity_p
CAID2 Disorder-PDB,caid2,disorder_pdb,AlphaFold-rsa,AF,calibrated,0.025857884277934923,0.012880185125994176,0.03814465588184637,0.001,0.03529768836303132,0.010928779329395809,0.0621679025971001,0.004,0.056327138026565034,0.030182217453984233,0.08064616434588495,0.001,-0.004611369470695186,-0.01773803081778329,0.008014671344701603,0.474
CAID2 Disorder-PDB,caid2,disorder_pdb,AIUPred,DED,calibrated,-0.037232804647217746,-0.06854409855041455,-0.007436226772515387,0.016,-0.06139720498848734,-0.11351402607366515,-0.012232631162076204,0.014,-0.0700213275634884,-0.13473757891461716,-0.010306386061377452,0.034,-0.0044442817309470915,-0.019837764376950957,0.010484169201051358,0.542
CAID2 Disorder-PDB,caid2,disorder_pdb,IUPred3,DED,calibrated,-0.06088842517302638,-0.08919428975857353,-0.03558241721525051,0.001,-0.10184232606459173,-0.15087297092670995,-0.060463293518348775,0.001,-0.11402168420593278,-0.1716395104301766,-0.06202639582187865,0.001,-0.007755166140119993,-0.022466871469640694,0.005743193676132857,0.324
CAID2 Disorder-PDB,caid2,disorder_pdb,ESpritz-D,DED,calibrated,-0.04086941367661411,-0.07320721061984467,-0.01166899067251264,0.004,-0.12651391063247563,-0.18748811886000946,-0.07076732393605746,0.001,0.004004819917318534,-0.05961130056825232,0.06091343569565323,0.838,-0.08574364727054676,-0.11963378877549317,-0.057723208079836,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,ESpritz-N,DED,calibrated,-0.08037360265185521,-0.10579410057208738,-0.05899264656395983,0.001,-0.16589054441835063,-0.21087962625852466,-0.1264050298707933,0.001,-0.11616894964236257,-0.16691997689164018,-0.07334830204094676,0.001,-0.04457825566134783,-0.05817470393646358,-0.031047480285668127,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,ESpritz-X,DED,calibrated,-0.07000333488755237,-0.09541174553089252,-0.0470071296014476,0.001,-0.14599083550742983,-0.19078398485116038,-0.10419589104326563,0.001,-0.09911033382151643,-0.14780656360321595,-0.050831135380265076,0.001,-0.04089633595358827,-0.05625050235326335,-0.02545838380494707,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,MobiDB-lite,DED,calibrated,-0.05313769177675502,-0.07706317975983075,-0.03400164129782285,0.001,-0.12003561383813467,-0.1611901785745496,-0.08248591560456678,0.001,-0.06347812716652972,-0.1098450248782683,-0.022450610644842512,0.004,-0.04279725638698033,-0.0577816851916578,-0.028704517011537225,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,flDPnn,DED,calibrated,-0.058199421503694684,-0.0854939954401657,-0.03029388954149378,0.001,-0.1397104719302468,-0.1859768229789946,-0.08956546809409968,0.001,-0.057349957925995454,-0.10846674471956629,-0.0010759449608644673,0.042,-0.05904888508139392,-0.08105601242885593,-0.03934521918063968,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,flDPnn2,DED,calibrated,-0.042972598152910255,-0.06791810722398454,-0.017272634905976497,0.002,-0.12137385478565871,-0.16861658636074706,-0.07386218703245902,0.001,-0.016348023359272542,-0.06514367927408225,0.03348435044399589,0.488,-0.06959717294654794,-0.09475973279739032,-0.046936177753273814,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,DISOPRED3-diso,DED,calibrated,-0.025830849383332913,-0.04981112634838622,-0.0029121787658653486,0.03,-0.049060318537999935,-0.08842662197642912,-0.012291703410834704,0.022,-0.04176334962773569,-0.08810187170766313,0.00848327066115596,0.076,-0.00989834913893014,-0.020585507277351697,0.0009982909003639407,0.072
CAID2 Disorder-PDB,caid2,disorder_pdb,SETH-0,DED,calibrated,0.010556990997598156,-0.004982069010752377,0.027027270295793777,0.2,0.01991554795972404,-0.006681699239191274,0.04750915756990402,0.156,0.017169802210024527,-0.013037349221086758,0.04946878420980346,0.3,0.0039441797851717895,-0.004853802098861903,0.013256061300283591,0.404
CAID2 Disorder-PDB,caid2,disorder_pdb,SETH-1,DED,calibrated,-0.010105161894054188,-0.026837663884670578,0.006960652122420351,0.242,-0.03229252746747163,-0.0654393926175042,0.00022555971539379565,0.052,-0.001748184928185286,-0.03256629684300997,0.03293108394797657,0.888,-0.018462138859923084,-0.031069833717885038,-0.005594180907277433,0.004
CAID2 Disorder-PDB,caid2,disorder_pdb,VSL2,DED,calibrated,-0.04254824493915025,-0.06694995975326114,-0.019958313340267403,0.001,-0.09888205275312899,-0.1438335374391238,-0.05664355200625273,0.001,-0.0476510585098376,-0.09693500608938645,-0.0024228265333133842,0.036,-0.03744543136846292,-0.051977463515478134,-0.022293981355405203,0.001
CAID2 Disorder-PDB,caid2,disorder_pdb,SPOT-Disorder,DED,calibrated,0.014114928554365679,-0.005844692169344234,0.03487396263291203,0.18,0.009301586724791288,-0.030058311016031666,0.04749976371780964,0.644,0.04230128755345116,0.003901400567189234,0.08293451367246552,0.028,-0.014071430444719792,-0.031196452478750185,0.0019389706906947969,0.082
CAID2 Disorder-PDB,caid2,disorder_pdb,SPOT-Disorder2,DED,calibrated,0.017716851156761217,-0.0003199655531913036,0.03890670670556187,0.054,0.03480755926372505,0.0038223334012623734,0.07111827229429336,0.028,0.027438415484493144,-0.007484120816993866,0.06681455724052865,0.154,0.00799528682902929,-0.00241109442697206,0.019250768932346486,0.122
CAID2 Disorder-PDB,caid2,disorder_pdb,SPOT-Disorder-Single,DED,calibrated,-0.018108974313087445,-0.043195720719987216,0.005049508323451505,0.156,-0.03772219841428283,-0.08257600911841806,0.0018977911438452235,0.06,-0.025501573656438535,-0.07628461329156053,0.021994242190495374,0.3,-0.010716374969736351,-0.024063884543239645,0.0020689892041941887,0.106
CAID2 Disorder-PDB,caid2,disorder_pdb,DisEMBL-dis465,DED,calibrated,-0.13874850739367495,-0.16259034914612167,-0.11626402814979768,0.001,-0.2883617418961773,-0.33150371110769467,-0.24885546257824517,0.001,-0.19849683943459898,-0.24405272584779933,-0.15338369622520873,0.001,-0.07900017535275092,-0.09236946800295232,-0.0659955904210442,0.001
