dataset,n_targets,comparison,auc_a,auc_plddt,d_auc,d_auc_lo,d_auc_hi,d_auc_p,bacc_a,bacc_plddt,d_bacc,d_bacc_lo,d_bacc_hi,d_bacc_p
CAID2 Disorder-PDB,299,AlphaFold-rsa - AlphaFold-disorder,0.9443121552467346,0.9287156462669373,0.015963528990745546,0.005593012273311615,0.025639608502387997,0.002,0.8853090477240179,0.859228821769315,0.026300851667403365,0.014740318344918192,0.03931254555836122,0.001
CAID2 Disorder-NOX,173,AlphaFold-rsa - AlphaFold-disorder,0.7467824220657349,0.6948853135108948,0.05083070135116577,0.020086443424224856,0.08936729431152343,0.004,0.708021887973438,0.6909661772262875,0.016948727532946996,0.0013136767032087163,0.03319269520755825,0.032
CAID3 Disorder-PDB,319,AlphaFold-rsa - AlphaFold-pLDDT,0.94977205991745,0.9341514110565186,0.01519900906085968,0.0032220676541328433,0.03107478469610214,0.02,0.8886247298855169,0.8617409721304636,0.027213305831079726,0.011799284695212764,0.04289538653625541,0.001
CAID3 Disorder-PDB,319,AlphaFold3-pLDDT - AlphaFold-pLDDT,0.9323959350585938,0.9341514110565186,-0.0020566266775131226,-0.010161107778549195,0.00822492092847824,0.616,0.8622578800741347,0.8617409721304636,0.0009954330524176427,-0.011634778304290463,0.013213997369126602,0.856
CAID3 Disorder-PDB,319,AlphaFold3-rsa - AlphaFold-pLDDT,0.9476488828659058,0.9341514110565186,0.01302652394771576,-0.0017838552594184873,0.03164844810962673,0.092,0.8901184374358326,0.8617409721304636,0.028752352468785713,0.011805164375179608,0.04701171936861765,0.001
CAID3 Disorder-NOX,204,AlphaFold-rsa - AlphaFold-pLDDT,0.8356925249099731,0.7776448130607605,0.056126477122306825,0.01802469789981842,0.09801399707794187,0.002,0.7864443893799294,0.7419348105630323,0.043514157352213034,0.013030598746437999,0.08045078139727577,0.002
CAID3 Disorder-NOX,204,AlphaFold3-pLDDT - AlphaFold-pLDDT,0.7860596776008606,0.7776448130607605,0.007207809448242187,-0.015031388401985169,0.03405717611312863,0.612,0.752739383708956,0.7419348105630323,0.010604074751343659,-0.0064690123363162905,0.0332664953639247,0.356
CAID3 Disorder-NOX,204,AlphaFold3-rsa - AlphaFold-pLDDT,0.8383938074111938,0.7776448130607605,0.05849235880374908,0.01412329226732254,0.11357262283563613,0.002,0.7943685424192235,0.7419348105630323,0.05125826005101956,0.015854512698948338,0.0886793434844471,0.002
