dataset,method,kind,operating_point,lo,hi,n_residues,recall
CAID2 Disorder-PDB,ESpritz-X,DED,calibrated,201,-1,10717,0.6865727349071569
CAID2 Disorder-PDB,MobiDB-lite,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,MobiDB-lite,DED,calibrated,6,10,160,0.58125
CAID2 Disorder-PDB,MobiDB-lite,DED,calibrated,11,15,898,0.5233853006681515
CAID2 Disorder-PDB,MobiDB-lite,DED,calibrated,16,20,752,0.5531914893617021
CAID2 Disorder-PDB,MobiDB-lite,DED,calibrated,21,30,1381,0.556118754525706
CAID2 Disorder-PDB,MobiDB-lite,DED,calibrated,31,50,1665,0.49309309309309307
CAID2 Disorder-PDB,MobiDB-lite,DED,calibrated,51,100,3649,0.6911482597972047
CAID2 Disorder-PDB,MobiDB-lite,DED,calibrated,101,200,3672,0.7627995642701525
CAID2 Disorder-PDB,MobiDB-lite,DED,calibrated,201,-1,10717,0.7598208453858356
CAID2 Disorder-PDB,flDPnn,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,flDPnn,DED,calibrated,6,10,160,0.61875
CAID2 Disorder-PDB,flDPnn,DED,calibrated,11,15,898,0.544543429844098
CAID2 Disorder-PDB,flDPnn,DED,calibrated,16,20,752,0.5571808510638298
CAID2 Disorder-PDB,flDPnn,DED,calibrated,21,30,1381,0.6473569876900797
CAID2 Disorder-PDB,flDPnn,DED,calibrated,31,50,1665,0.5573573573573574
CAID2 Disorder-PDB,flDPnn,DED,calibrated,51,100,3649,0.7648670868731159
CAID2 Disorder-PDB,flDPnn,DED,calibrated,101,200,3672,0.8014705882352942
CAID2 Disorder-PDB,flDPnn,DED,calibrated,201,-1,10717,0.7089670616777083
CAID2 Disorder-PDB,flDPnn2,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,flDPnn2,DED,calibrated,6,10,160,0.5875
CAID2 Disorder-PDB,flDPnn2,DED,calibrated,11,15,898,0.5256124721603563
CAID2 Disorder-PDB,flDPnn2,DED,calibrated,16,20,752,0.4920212765957447
CAID2 Disorder-PDB,flDPnn2,DED,calibrated,21,30,1381,0.6212889210716872
CAID2 Disorder-PDB,flDPnn2,DED,calibrated,31,50,1665,0.5645645645645646
CAID2 Disorder-PDB,flDPnn2,DED,calibrated,51,100,3649,0.793642093724308
CAID2 Disorder-PDB,flDPnn2,DED,calibrated,101,200,3672,0.8782679738562091
CAID2 Disorder-PDB,flDPnn2,DED,calibrated,201,-1,10717,0.7689651954838108
CAID2 Disorder-PDB,DISOPRED3-diso,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,DISOPRED3-diso,DED,calibrated,6,10,160,0.55625
CAID2 Disorder-PDB,DISOPRED3-diso,DED,calibrated,11,15,898,0.4610244988864143
CAID2 Disorder-PDB,DISOPRED3-diso,DED,calibrated,16,20,752,0.5598404255319149
CAID2 Disorder-PDB,DISOPRED3-diso,DED,calibrated,21,30,1381,0.6183924692251991
CAID2 Disorder-PDB,DISOPRED3-diso,DED,calibrated,31,50,1665,0.5525525525525525
CAID2 Disorder-PDB,DISOPRED3-diso,DED,calibrated,51,100,3649,0.7097835023294053
CAID2 Disorder-PDB,DISOPRED3-diso,DED,calibrated,101,200,3672,0.6947167755991286
CAID2 Disorder-PDB,DISOPRED3-diso,DED,calibrated,201,-1,10717,0.8115144163478586
CAID2 Disorder-PDB,SETH-0,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,SETH-0,DED,calibrated,6,10,160,0.51875
CAID2 Disorder-PDB,SETH-0,DED,calibrated,11,15,898,0.5367483296213809
CAID2 Disorder-PDB,SETH-0,DED,calibrated,16,20,752,0.5412234042553191
CAID2 Disorder-PDB,SETH-0,DED,calibrated,21,30,1381,0.6524257784214338
CAID2 Disorder-PDB,SETH-0,DED,calibrated,31,50,1665,0.6456456456456456
CAID2 Disorder-PDB,SETH-0,DED,calibrated,51,100,3649,0.8226911482597972
CAID2 Disorder-PDB,SETH-0,DED,calibrated,101,200,3672,0.8251633986928104
CAID2 Disorder-PDB,SETH-0,DED,calibrated,201,-1,10717,0.8308295231874592
CAID2 Disorder-PDB,SETH-1,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,SETH-1,DED,calibrated,6,10,160,0.5125
CAID2 Disorder-PDB,SETH-1,DED,calibrated,11,15,898,0.566815144766147
CAID2 Disorder-PDB,SETH-1,DED,calibrated,16,20,752,0.5851063829787234
CAID2 Disorder-PDB,SETH-1,DED,calibrated,21,30,1381,0.6531498913830558
CAID2 Disorder-PDB,SETH-1,DED,calibrated,31,50,1665,0.6444444444444445
CAID2 Disorder-PDB,SETH-1,DED,calibrated,51,100,3649,0.8002192381474377
CAID2 Disorder-PDB,SETH-1,DED,calibrated,101,200,3672,0.8126361655773421
CAID2 Disorder-PDB,SETH-1,DED,calibrated,201,-1,10717,0.7971447233367547
CAID2 Disorder-PDB,VSL2,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,VSL2,DED,calibrated,6,10,160,0.575
CAID2 Disorder-PDB,VSL2,DED,calibrated,11,15,898,0.4576837416481069
CAID2 Disorder-PDB,VSL2,DED,calibrated,16,20,752,0.48936170212765956
CAID2 Disorder-PDB,VSL2,DED,calibrated,21,30,1381,0.560463432295438
CAID2 Disorder-PDB,VSL2,DED,calibrated,31,50,1665,0.5069069069069069
CAID2 Disorder-PDB,VSL2,DED,calibrated,51,100,3649,0.7275966018087148
CAID2 Disorder-PDB,VSL2,DED,calibrated,101,200,3672,0.7704248366013072
CAID2 Disorder-PDB,VSL2,DED,calibrated,201,-1,10717,0.7859475599514789
CAID2 Disorder-PDB,SPOT-Disorder,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,SPOT-Disorder,DED,calibrated,6,10,160,0.61875
CAID2 Disorder-PDB,SPOT-Disorder,DED,calibrated,11,15,898,0.49888641425389757
CAID2 Disorder-PDB,SPOT-Disorder,DED,calibrated,16,20,752,0.5279255319148937
CAID2 Disorder-PDB,SPOT-Disorder,DED,calibrated,21,30,1381,0.6799420709630702
CAID2 Disorder-PDB,SPOT-Disorder,DED,calibrated,31,50,1665,0.6576576576576577
CAID2 Disorder-PDB,SPOT-Disorder,DED,calibrated,51,100,3649,0.821869005206906
CAID2 Disorder-PDB,SPOT-Disorder,DED,calibrated,101,200,3672,0.8461328976034859
CAID2 Disorder-PDB,SPOT-Disorder,DED,calibrated,201,-1,10717,0.8750583185592983
CAID2 Disorder-PDB,SPOT-Disorder2,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,SPOT-Disorder2,DED,calibrated,6,10,160,0.65
CAID2 Disorder-PDB,SPOT-Disorder2,DED,calibrated,11,15,898,0.4688195991091314
CAID2 Disorder-PDB,SPOT-Disorder2,DED,calibrated,16,20,752,0.574468085106383
CAID2 Disorder-PDB,SPOT-Disorder2,DED,calibrated,21,30,1381,0.6589427950760318
CAID2 Disorder-PDB,SPOT-Disorder2,DED,calibrated,31,50,1665,0.5975975975975976
CAID2 Disorder-PDB,SPOT-Disorder2,DED,calibrated,51,100,3649,0.7602082762400658
CAID2 Disorder-PDB,SPOT-Disorder2,DED,calibrated,101,200,3672,0.8684640522875817
CAID2 Disorder-PDB,SPOT-Disorder2,DED,calibrated,201,-1,10717,0.8678734720537464
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,6,10,160,0.58125
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,11,15,898,0.41648106904231624
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,16,20,752,0.49601063829787234
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,21,30,1381,0.5633598841419262
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,31,50,1665,0.5267267267267267
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,51,100,3649,0.7377363661277062
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,101,200,3672,0.8183551198257081
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,calibrated,201,-1,10717,0.8131006811607726
CAID2 Disorder-PDB,DisEMBL-dis465,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,DisEMBL-dis465,DED,calibrated,6,10,160,0.56875
CAID2 Disorder-PDB,DisEMBL-dis465,DED,calibrated,11,15,898,0.5701559020044543
CAID2 Disorder-PDB,DisEMBL-dis465,DED,calibrated,16,20,752,0.5638297872340425
CAID2 Disorder-PDB,DisEMBL-dis465,DED,calibrated,21,30,1381,0.560463432295438
CAID2 Disorder-PDB,DisEMBL-dis465,DED,calibrated,31,50,1665,0.4720720720720721
CAID2 Disorder-PDB,DisEMBL-dis465,DED,calibrated,51,100,3649,0.6229103864072348
CAID2 Disorder-PDB,DisEMBL-dis465,DED,calibrated,101,200,3672,0.5746187363834423
CAID2 Disorder-PDB,DisEMBL-dis465,DED,calibrated,201,-1,10717,0.556872259027713
CAID2 Disorder-PDB,DisEMBL-disHL,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,DisEMBL-disHL,DED,calibrated,6,10,160,0.8375
CAID2 Disorder-PDB,DisEMBL-disHL,DED,calibrated,11,15,898,0.8051224944320713
CAID2 Disorder-PDB,DisEMBL-disHL,DED,calibrated,16,20,752,0.7726063829787234
CAID2 Disorder-PDB,DisEMBL-disHL,DED,calibrated,21,30,1381,0.7393193338160753
CAID2 Disorder-PDB,DisEMBL-disHL,DED,calibrated,31,50,1665,0.5891891891891892
CAID2 Disorder-PDB,DisEMBL-disHL,DED,calibrated,51,100,3649,0.7029323102219787
CAID2 Disorder-PDB,DisEMBL-disHL,DED,calibrated,101,200,3672,0.7314814814814815
CAID2 Disorder-PDB,DisEMBL-disHL,DED,calibrated,201,-1,10717,0.6616590463749183
CAID2 Disorder-PDB,IsUnstruct,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,IsUnstruct,DED,calibrated,6,10,160,0.65
CAID2 Disorder-PDB,IsUnstruct,DED,calibrated,11,15,898,0.48997772828507796
CAID2 Disorder-PDB,IsUnstruct,DED,calibrated,16,20,752,0.5226063829787234
CAID2 Disorder-PDB,IsUnstruct,DED,calibrated,21,30,1381,0.5843591600289645
CAID2 Disorder-PDB,IsUnstruct,DED,calibrated,31,50,1665,0.5153153153153153
CAID2 Disorder-PDB,IsUnstruct,DED,calibrated,51,100,3649,0.7182789805426144
CAID2 Disorder-PDB,IsUnstruct,DED,calibrated,101,200,3672,0.7578976034858388
CAID2 Disorder-PDB,IsUnstruct,DED,calibrated,201,-1,10717,0.7383596155640572
CAID2 Disorder-PDB,RONN,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,RONN,DED,calibrated,6,10,160,0.50625
CAID2 Disorder-PDB,RONN,DED,calibrated,11,15,898,0.4142538975501114
CAID2 Disorder-PDB,RONN,DED,calibrated,16,20,752,0.538563829787234
CAID2 Disorder-PDB,RONN,DED,calibrated,21,30,1381,0.5698769007965243
CAID2 Disorder-PDB,RONN,DED,calibrated,31,50,1665,0.4810810810810811
CAID2 Disorder-PDB,RONN,DED,calibrated,51,100,3649,0.6426418196766237
CAID2 Disorder-PDB,RONN,DED,calibrated,101,200,3672,0.6519607843137255
CAID2 Disorder-PDB,RONN,DED,calibrated,201,-1,10717,0.648688998786974
CAID2 Disorder-PDB,PreDisorder,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,PreDisorder,DED,calibrated,6,10,160,0.71875
CAID2 Disorder-PDB,PreDisorder,DED,calibrated,11,15,898,0.5144766146993318
CAID2 Disorder-PDB,PreDisorder,DED,calibrated,16,20,752,0.5917553191489362
CAID2 Disorder-PDB,PreDisorder,DED,calibrated,21,30,1381,0.6227371469949312
CAID2 Disorder-PDB,PreDisorder,DED,calibrated,31,50,1665,0.5003003003003003
CAID2 Disorder-PDB,PreDisorder,DED,calibrated,51,100,3649,0.692244450534393
CAID2 Disorder-PDB,PreDisorder,DED,calibrated,101,200,3672,0.6938997821350763
CAID2 Disorder-PDB,PreDisorder,DED,calibrated,201,-1,10717,0.6852663991788747
CAID2 Disorder-PDB,OPAL,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,OPAL,DED,calibrated,6,10,160,0.575
CAID2 Disorder-PDB,OPAL,DED,calibrated,11,15,898,0.7071269487750557
CAID2 Disorder-PDB,OPAL,DED,calibrated,16,20,752,0.7154255319148937
CAID2 Disorder-PDB,OPAL,DED,calibrated,21,30,1381,0.8559015206372194
CAID2 Disorder-PDB,OPAL,DED,calibrated,31,50,1665,0.7591591591591592
CAID2 Disorder-PDB,OPAL,DED,calibrated,51,100,3649,0.858043299534119
CAID2 Disorder-PDB,OPAL,DED,calibrated,101,200,3672,0.8145424836601307
CAID2 Disorder-PDB,OPAL,DED,calibrated,201,-1,10717,0.6903984323971261
CAID2 Disorder-PDB,pyHCA,DED,calibrated,1,5,0,
