dataset,round,reference,method,kind,operating_point,dbacc_short_lt20,dbacc_short_lt20_lo,dbacc_short_lt20_hi,dbacc_short_lt20_p,relbacc_short_lt20,relbacc_short_lt20_lo,relbacc_short_lt20_hi,drecall_short_lt20,dbacc_mid_20_30,dbacc_mid_20_30_lo,dbacc_mid_20_30_hi,dbacc_mid_20_30_p,relbacc_mid_20_30,relbacc_mid_20_30_lo,relbacc_mid_20_30_hi,drecall_mid_20_30,dbacc_long_gt30,dbacc_long_gt30_lo,dbacc_long_gt30_hi,dbacc_long_gt30_p,relbacc_long_gt30,relbacc_long_gt30_lo,relbacc_long_gt30_hi,drecall_long_gt30,interaction_short_minus_long,interaction_lo,interaction_hi,interaction_p
CAID2 Disorder-PDB,caid2,disorder_pdb,AlphaFold-rsa,AF,literal,0.07640438447317517,0.04442333801965046,0.11200283407138475,0.001,0.11093419053409684,0.06358752448056264,0.16483109437781843,0.20614978402813358,0.09258327974337555,0.05660356064915436,0.1302695934060318,0.001,0.12615383758374354,0.07373225770408556,0.1852911313962851,0.23850757456853433,0.11154630059264069,0.08750503710993607,0.1368265277502028,0.001,0.1408715526539548,0.10768399856340417,0.17692481967987406,0.27643361626706464,-0.03514191611946552,-0.07525593030996658,0.006984706304588258,0.104
CAID2 Disorder-PDB,caid2,disorder_pdb,AIUPred,DED,literal,0.01286451420067102,-0.03524812971953855,0.06454666368389853,0.638,0.019177095468332232,-0.04954818237032003,0.0960900772414074,0.17351819690145578,-0.01893365690616637,-0.0846869080409912,0.044863867140391506,0.578,-0.024857071610392863,-0.10954134856121596,0.06224838802913051,0.10992185468778103,0.055162139395109805,0.01950754450095284,0.08982205922148688,0.004,0.06985980806374203,0.023831690401076574,0.11746149066660609,0.25811344729033336,-0.042297625194438776,-0.1031486357177917,0.01981563183841053,0.168
CAID2 Disorder-PDB,caid2,disorder_pdb,IUPred3,DED,literal,-0.014256197078037743,-0.05586522737055922,0.030421041178240467,0.51,-0.020246619609048735,-0.07917733193085409,0.04579731266552008,0.018432840727326587,-0.07051325283689906,-0.12410779773261889,-0.019806771960778482,0.01,-0.09515033321303633,-0.1626233664199663,-0.028075713373367273,-0.09408127079039606,0.03159894861121847,-0.0066709600170630125,0.06564648309819351,0.108,0.04012709967357532,-0.008114041758568186,0.08439742945632325,0.11014313210583901,-0.04585514568925622,-0.10047156266492467,0.013988852693366017,0.126
CAID2 Disorder-PDB,caid2,disorder_pdb,ESpritz-D,DED,literal,-0.14858896418795228,-0.19336694520815778,-0.10566830816683781,0.001,-0.2147184467174499,-0.2683155673442951,-0.15828866410564682,-0.29502700646635793,-0.21267409317401473,-0.2621401378842515,-0.1586612103633188,0.001,-0.2881007122286282,-0.33953126658926897,-0.2280286992777134,-0.4231972644384829,-0.12411633093767448,-0.1791927699974783,-0.07125797248864257,0.001,-0.15613945154612924,-0.22173753516547898,-0.09146585861476243,-0.24608173996580232,-0.0244726332502778,-0.09252952586008602,0.046304820874126074,0.46
CAID2 Disorder-PDB,caid2,disorder_pdb,ESpritz-N,DED,literal,-0.0018737571159620364,-0.041195715065121624,0.03789213903216052,0.906,-0.0023495840212041912,-0.0584174020215398,0.056508871027939826,0.029414546643846472,-0.06893381347098904,-0.12803165573361008,-0.011414700730011005,0.02,-0.09299165262495623,-0.1698568858719555,-0.015543772374818096,-0.10470556606620753,-0.04122483109374553,-0.07739470472013447,-0.010385039453400505,0.008,-0.0517553134319717,-0.09448675668035574,-0.013645346055816217,-0.04928760131172051,0.03935107397778349,-0.010000818321074427,0.09216396107782922,0.126
CAID2 Disorder-PDB,caid2,disorder_pdb,ESpritz-X,DED,literal,-0.12690129587457152,-0.16382066253590932,-0.0897087988752737,0.001,-0.18347033213969918,-0.23029254389728218,-0.13547500125448703,-0.26004425787183605,-0.16530261057305523,-0.2141536940317163,-0.11346327486314328,0.001,-0.22386169709058956,-0.27954733849293223,-0.159963554223143,-0.33684688726880346,-0.16919055714846928,-0.20612225083670452,-0.13351754201115665,0.001,-0.21310064368265466,-0.25514233887921195,-0.17254543584770818,-0.34462278041963157,0.04228926127389775,-0.010901536010430764,0.09173179966473555,0.104
CAID2 Disorder-PDB,caid2,disorder_pdb,MobiDB-lite,DED,literal,-0.024527145747212216,-0.062468222401046034,0.014189699829019495,0.256,-0.035131601491416434,-0.0871940566484482,0.021633636954129013,-0.03362875265154483,-0.0739654866472946,-0.13263628563882718,-0.02337143447999193,0.002,-0.09983282768161257,-0.17336735088723565,-0.0331115193324527,-0.13250543445170956,-0.045200982692044006,-0.08319618082879025,-0.008991351681654226,0.014,-0.0567108255671049,-0.10142828313353389,-0.011500615253330336,-0.0749764265412084,0.020673836944831787,-0.03217901975575677,0.07457064211627697,0.436
CAID2 Disorder-PDB,caid2,disorder_pdb,flDPnn,DED,literal,-0.13812408044477525,-0.1811331297010027,-0.0918733894761559,0.001,-0.19954980378171433,-0.2531583744309346,-0.13742418458445235,-0.28054977277365345,-0.17100080092495346,-0.23109316833821097,-0.1006379881636029,0.001,-0.23132136433344244,-0.2998873795584894,-0.14644761542964382,-0.34630321373401,-0.15238040495538155,-0.20434795402810008,-0.10084197407691607,0.001,-0.1918156895249158,-0.2515001077129227,-0.12838695906066616,-0.30906242179486604,0.014256324510606296,-0.05377171026690285,0.07820686383284046,0.676
CAID2 Disorder-PDB,caid2,disorder_pdb,flDPnn2,DED,literal,-0.13589091156638738,-0.17921959019575504,-0.08873611916090163,0.001,-0.19632660817262143,-0.2513313896161877,-0.13402432329835665,-0.27671015603370497,-0.14858311490899836,-0.2054460380185636,-0.08711557672463874,0.001,-0.20099790621368754,-0.26571313806334745,-0.12398407571869609,-0.30209456271892704,-0.15443356667138977,-0.2064006010054851,-0.09693205941140323,0.001,-0.19436695544209856,-0.255011818252185,-0.1254515428682316,-0.3137954662437097,0.01854265510500237,-0.056128360813468184,0.08628457349789496,0.594
CAID2 Disorder-PDB,caid2,disorder_pdb,DISOPRED3-diso,DED,literal,0.025382842129807442,-0.008544960719878624,0.058743959531195676,0.148,0.0369618089702327,-0.01171203749507003,0.08607505989753855,0.07794945504526805,0.013084758244971337,-0.019705649753800566,0.04424730552215634,0.456,0.018019421940853302,-0.026700951867852766,0.06142150461918249,0.05335328727559584,0.043321503995843856,0.007561437773488383,0.07987083980736766,0.02,0.05491053088210603,0.009356074576924871,0.10331576853681458,0.11382677877734088,-0.01793866186603641,-0.06506160554637462,0.028854758185219515,0.512
CAID2 Disorder-PDB,caid2,disorder_pdb,SETH-0,DED,literal,-0.012152779440700418,-0.04537972992210756,0.02204889137169213,0.494,-0.01734317421619253,-0.06505233183318458,0.03255342858414877,-0.016093657143523343,-0.0004949533812894349,-0.0447265132007955,0.045099976638993455,0.98,-0.00023547464752602065,-0.05840433727747913,0.06278040104564978,0.007221994975298621,0.05967435387434019,0.030924580417063276,0.0886974038924307,0.001,0.07545932874180158,0.03743807468701742,0.11417388719643523,0.12756060948655787,-0.0718271333150406,-0.11581662845064067,-0.028436752253773002,0.002
CAID2 Disorder-PDB,caid2,disorder_pdb,SETH-1,DED,literal,0.031618964185002894,-0.005306814528289574,0.07051579205866493,0.104,0.04614740785495757,-0.007588010622148695,0.10440826573472113,0.09043082932107853,0.013746310660799128,-0.029282725838024676,0.060994315874965455,0.514,0.019156616657486858,-0.03875287937818365,0.0857920779454015,0.05468552227267102,0.04994818569282559,0.019496328648184843,0.08159678467965185,0.001,0.06322156238145772,0.02421646344118807,0.1051923164843344,0.12708927233672396,-0.018329221507822697,-0.06670395864686847,0.02854339531855042,0.466
CAID2 Disorder-PDB,caid2,disorder_pdb,VSL2,DED,literal,0.06870970592839167,0.030353602352093844,0.10661587002318157,0.002,0.1000681257339205,0.042880659378042425,0.1613378564392407,0.3330899857530462,0.017636765983303153,-0.0315759251765974,0.0712270563899304,0.53,0.024654081728603994,-0.041328161725183915,0.10010123934870872,0.23094410586286923,0.032193154365827724,0.0008823502502607234,0.06264278316574955,0.05,0.04087556359225418,0.0010498866352729869,0.08071888831504186,0.26005688262791843,0.03651655156256395,-0.013125344092903545,0.0893731954939124,0.124
