dataset,round,reference,method,kind,operating_point,threshold,stratum,recall,recall_lo,recall_hi,specificity,balanced_accuracy,bacc_lo,bacc_hi,mcc,n_pos_residues,n_targets
CAID2 Disorder-PDB,caid2,disorder_pdb,AlphaFold-disorder,AF,literal,0.5,short_lt20,0.39254658385093166,0.324106539493754,0.45671377641965877,0.988201072629761,0.6903738282403463,0.6567295479769933,0.722797602539949,0.42557946442430145,1610,240
CAID2 Disorder-PDB,caid2,disorder_pdb,AlphaFold-disorder,AF,literal,0.5,mid_20_30,0.48513598987982287,0.37905982415631506,0.5743398044623853,0.988201072629761,0.7366685312547919,0.6836476994267614,0.7812763522860957,0.49940675469201423,1581,240
CAID2 Disorder-PDB,caid2,disorder_pdb,AlphaFold-disorder,AF,literal,0.5,long_gt30,0.5980815104298838,0.5370583258863478,0.6541059108384759,0.988201072629761,0.7931412915298224,0.7624501766790108,0.821543745377041,0.6936324794631046,19703,240
CAID2 Disorder-PDB,caid2,disorder_pdb,AlphaFold-disorder,AF,calibrated,0.308,short_lt20,0.6527950310559006,0.5785003942697152,0.7213846975787562,0.9559494591400782,0.8043722450979894,0.7680136242714408,0.8393724392273018,0.4216181492651348,1610,240
CAID2 Disorder-PDB,caid2,disorder_pdb,AlphaFold-disorder,AF,calibrated,0.308,mid_20_30,0.6913345983554712,0.6004373236130031,0.776553032100022,0.9559494591400782,0.8236420287477747,0.7772132284852261,0.8659964779554196,0.4418887580980637,1581,240
CAID2 Disorder-PDB,caid2,disorder_pdb,AlphaFold-disorder,AF,calibrated,0.308,long_gt30,0.7788661625133229,0.7274252023798329,0.8271756399893924,0.9559494591400782,0.8674078108267005,0.8408033731652448,0.8927156939054368,0.7605175356569978,19703,240
CAID2 Disorder-PDB,caid2,disorder_pdb,AlphaFold-rsa,AF,literal,0.5,short_lt20,0.598136645962733,0.5096171580888855,0.686174502882819,0.9348059267339333,0.7664712863483332,0.7228453225319426,0.8095699510994021,0.3258812407598452,1610,240
CAID2 Disorder-PDB,caid2,disorder_pdb,AlphaFold-rsa,AF,literal,0.5,mid_20_30,0.7229601518026565,0.6281982203829748,0.8127260967711355,0.9348059267339333,0.8288830392682949,0.7823180165740393,0.8742799347465202,0.3916969059306002,1581,240
CAID2 Disorder-PDB,caid2,disorder_pdb,AlphaFold-rsa,AF,literal,0.5,long_gt30,0.8740800893264985,0.8275575364761676,0.9172652488662031,0.9348059267339333,0.9044430080302159,0.8808486539750972,0.9273469139768452,0.7951426309374724,19703,240
CAID2 Disorder-PDB,caid2,disorder_pdb,AlphaFold-rsa,AF,calibrated,0.533,short_lt20,0.55527950310559,0.4723814882247436,0.6463867622654395,0.9512953367875647,0.7532874199465773,0.7120474032425591,0.7980464602485499,0.3462830106201671,1610,240
