dataset,method,kind,operating_point,stratum,n_regions,detection_rate,mean_overlap
CAID2 Disorder-PDB,flDPnn2,DED,calibrated,mid_20_30,64,0.609375,0.5851633048438942
CAID2 Disorder-PDB,flDPnn2,DED,calibrated,long_gt30,153,0.7712418300653595,0.7380685438486001
CAID2 Disorder-PDB,DISOPRED3-diso,DED,literal,short_lt20,118,0.4830508474576271,0.4581257019816342
CAID2 Disorder-PDB,DISOPRED3-diso,DED,literal,mid_20_30,64,0.59375,0.52948666127604
CAID2 Disorder-PDB,DISOPRED3-diso,DED,literal,long_gt30,153,0.673202614379085,0.6301570825898917
CAID2 Disorder-PDB,DISOPRED3-diso,DED,calibrated,short_lt20,118,0.5338983050847458,0.5104621462347626
CAID2 Disorder-PDB,DISOPRED3-diso,DED,calibrated,mid_20_30,64,0.625,0.5844955795044813
CAID2 Disorder-PDB,DISOPRED3-diso,DED,calibrated,long_gt30,153,0.7124183006535948,0.671771456267627
CAID2 Disorder-PDB,SETH-0,DED,literal,short_lt20,118,0.3898305084745763,0.3728598276362878
CAID2 Disorder-PDB,SETH-0,DED,literal,mid_20_30,64,0.5,0.4814586183873806
CAID2 Disorder-PDB,SETH-0,DED,literal,long_gt30,153,0.6928104575163399,0.6745769600963384
CAID2 Disorder-PDB,SETH-0,DED,calibrated,short_lt20,118,0.5932203389830508,0.5506172327625731
CAID2 Disorder-PDB,SETH-0,DED,calibrated,mid_20_30,64,0.625,0.6063303531540507
CAID2 Disorder-PDB,SETH-0,DED,calibrated,long_gt30,153,0.8235294117647058,0.7687973970418065
CAID2 Disorder-PDB,SETH-1,DED,literal,short_lt20,118,0.5084745762711864,0.47484618836877845
CAID2 Disorder-PDB,SETH-1,DED,literal,mid_20_30,64,0.546875,0.530953958585143
CAID2 Disorder-PDB,SETH-1,DED,literal,long_gt30,153,0.7450980392156863,0.6849391247869662
CAID2 Disorder-PDB,SETH-1,DED,calibrated,short_lt20,118,0.6271186440677966,0.5659580954748086
CAID2 Disorder-PDB,SETH-1,DED,calibrated,mid_20_30,64,0.6875,0.6316220206588694
CAID2 Disorder-PDB,SETH-1,DED,calibrated,long_gt30,153,0.8104575163398693,0.7498538499841624
CAID2 Disorder-PDB,VSL2,DED,literal,short_lt20,118,0.788135593220339,0.7220600369469551
CAID2 Disorder-PDB,VSL2,DED,literal,mid_20_30,64,0.71875,0.7086958452652559
CAID2 Disorder-PDB,VSL2,DED,literal,long_gt30,153,0.8562091503267973,0.813974920626005
CAID2 Disorder-PDB,VSL2,DED,calibrated,short_lt20,118,0.5,0.48254306858330315
CAID2 Disorder-PDB,VSL2,DED,calibrated,mid_20_30,64,0.546875,0.5452631634262304
CAID2 Disorder-PDB,VSL2,DED,calibrated,long_gt30,153,0.7320261437908496,0.6838482466322793
CAID2 Disorder-PDB,SPOT-Disorder,DED,literal,short_lt20,118,0.4745762711864407,0.44592942808854286
CAID2 Disorder-PDB,SPOT-Disorder,DED,literal,mid_20_30,64,0.609375,0.5703023080664338
CAID2 Disorder-PDB,SPOT-Disorder,DED,literal,long_gt30,153,0.7647058823529411,0.7409861965940913
CAID2 Disorder-PDB,SPOT-Disorder,DED,calibrated,short_lt20,118,0.5847457627118644,0.5356812263841176
CAID2 Disorder-PDB,SPOT-Disorder,DED,calibrated,mid_20_30,64,0.671875,0.6325099546333851
CAID2 Disorder-PDB,SPOT-Disorder,DED,calibrated,long_gt30,153,0.7973856209150327,0.7845346882603649
CAID2 Disorder-PDB,SPOT-Disorder2,DED,literal,short_lt20,118,0.5338983050847458,0.46335452418617395
CAID2 Disorder-PDB,SPOT-Disorder2,DED,literal,mid_20_30,64,0.5625,0.5323513681392945
CAID2 Disorder-PDB,SPOT-Disorder2,DED,literal,long_gt30,153,0.7320261437908496,0.7044023729869909
CAID2 Disorder-PDB,SPOT-Disorder2,DED,calibrated,short_lt20,118,0.5932203389830508,0.5401068280617134
CAID2 Disorder-PDB,SPOT-Disorder2,DED,calibrated,mid_20_30,64,0.625,0.6111296963749644
CAID2 Disorder-PDB,SPOT-Disorder2,DED,calibrated,long_gt30,153,0.7777777777777778,0.7504889209071444
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,literal,short_lt20,118,0.2542372881355932,0.23609048880110697
CAID2 Disorder-PDB,SPOT-Disorder-Single,DED,literal,mid_20_30,64,0.234375,0.2467433019705321
